feature_id	gene_id	GSM461176	GSM461177	GSM461178	GSM461179	GSM461180	GSM461181	GSM461182
FBtr0306538	FBgn0067779	801.871	129.867	191.15	638.683	151.662	116.405	87.8324
FBtr0306540	FBgn0031213	20.4901	0	0	58.0967	13.8071	24.9133	33.4567
FBtr0078101	FBgn0031213	452.042	232.633	197.773	1853.539	226.754	235.765	379.848
FBtr0302164	FBgn0031213	432.53	182.427	189.356	1554.167	146.214	173.018	368.355
FBtr0331680	FBgn0031213	64.2616	13.7157	55.4915	308.395	31.4112	54.0958	111.409
FBtr0301733	FBgn0031213	166.676	80.2248	71.3791	920.802	36.8136	38.2076	144.931
FBtr0306541	FBgn0031214	15	6	1	63	7	6	12
FBtr0290323	FBgn0002931	38.7389	0	0	186.1172	3.64489	3.62897	26.7442
FBtr0330637	FBgn0002931	119.261	59	55	233.8828	38.3551	52.371	76.2558
FBtr0078103	FBgn0031216	1349	436	369	4521	370	375	988
FBtr0078104	FBgn0031217	745.459	337.421	438.33	2538.928	430.836	563.751	980.685
FBtr0330636	FBgn0031217	400.593	95.5792	178.371	1150.828	154.045	162.249	233.26
FBtr0301452	FBgn0026787	444.948	149	200.298	1029.245	146.12	173	369.054
FBtr0089437	FBgn0005278	0	0	0	0	0	0	0
FBtr0089428	FBgn0005278	37.6759	29.7769	27.1169	159.3735	34.4768	29.557	15.6756
FBtr0089429	FBgn0005278	0	0	0	0	0	0	0
FBtr0330656	FBgn0005278	122.93	41.5926	71.1354	385.825	58.9501	86.5828	157.398
FBtr0308091	FBgn0005278	76.9157	37.4477	77.2228	158.0523	44.0245	50.0827	89.6019
FBtr0089430	FBgn0005278	0	39.8589	40.5241	643.091	18.0115	61.7083	176.99
FBtr0089431	FBgn0005278	0	0	0	0	0	0	0
FBtr0089432	FBgn0005278	143.071	0	0	228.0293	56.4624	0	0
FBtr0089433	FBgn0005278	2891.45	980.22	1129.11	8869.69	1034.08	1188.35	1969.89
FBtr0089434	FBgn0005278	817.764	304.894	309.888	1956.58	330.605	380.23	472.474
FBtr0089435	FBgn0005278	166.194	0.209498	0	957.126	52.543	39.4892	84.9722
FBtr0089436	FBgn0005278	0	0	0	145.2214	8.84265	0	0
FBtr0306542	FBgn0031228	19.2633	0	2.51015e-06	191.2814	0	0.00476506	0
FBtr0330638	FBgn0031228	58.6892	22.1	1.82375	1.785655e-05	26.9663	14.7924	78.3063
FBtr0330639	FBgn0031228	0	0	16.8371	44.0547	2.15258	6.15026	0
FBtr0330641	FBgn0031228	14.8412	0	0	45.583	0	0	0
FBtr0330642	FBgn0031228	0	0	0	0	0	0	4.18497
FBtr0078117	FBgn0031228	394.934	130.435	207.9	948.229	135.008	173.3	177.022
FBtr0078118	FBgn0031228	331.226	94.0432	118.439	1079.884	70.1426	164.208	310.692
FBtr0301886	FBgn0031228	4.99707	0	0	0	0	0	0
FBtr0301887	FBgn0031228	0	0	0	0	57.6116	5.54426	0
FBtr0301888	FBgn0031228	0	0	0	20.49213	0	0	8.7951
FBtr0330640	FBgn0031228	14.4392	8.42213	0	14.92524	27.1189	0	0
FBtr0078160	FBgn0031219	133	44	28	318	30	25	75
FBtr0078159	FBgn0031220	942.155	328.794	336.573	3022.69	296.675	356.307	579.323
FBtr0078156	FBgn0031220	638.177	257.454	415.449	4285.96	518.798	634.792	503.45
FBtr0078157	FBgn0031220	1563.02	461.267	284.745	5199.85	495.319	486.31	981.487
FBtr0078158	FBgn0031220	4.38119	30.8873	363.092	29.62588	290.202	3.82981	13.265
FBtr0100307	FBgn0031220	0	0.00997037	0	4.07134e-05	0	0	0.0344228
FBtr0100308	FBgn0031220	0	39.168	0	1.94433e-05	0	0	23.7544
FBtr0100309	FBgn0031220	251.967	129.079	110.28	1780.658	82.1506	31.4281	431.077
FBtr0100310	FBgn0031220	532.289	271.341	28.5809	1776.055	298.848	420.467	493.927
FBtr0330646	FBgn0031220	564.015	0	0.280321	1542.153	0.00731032	85.8658	65.6812
FBtr0078153	FBgn0025683	13.1664	8.06097	10.2484	21.82549	8.64257	9.60065	7.65794
FBtr0078155	FBgn0025683	0.956554	2.14687	2.45664	4.52014	2.82003	1.93755	5.89521
FBtr0078154	FBgn0025683	7117.56	2351.06	2758.81	15949.56	2074.25	2606.25	3508.26
FBtr0100379	FBgn0025683	509.316	575.736	609.487	3074.1	617.292	493.213	2305.19
FBtr0078114	FBgn0001142	0	0	0	227.4035	9.80271	2.56537	25.7196
FBtr0078115	FBgn0001142	59.704	39.5046	16.0086	150.0705	16.1728	6.13231	32.7913
FBtr0300568	FBgn0001142	539.296	243.495	333.991	1443.526	233.024	282.302	146.489
FBtr0302196	FBgn0051975	8.68772	3.49372	9.34532	59.628	3.50127	6.97167	2.44776
FBtr0302195	FBgn0051975	113.625	42.0126	43.3094	306.744	41.9975	43.0567	27.1045
FBtr0302194	FBgn0051976	8.68772	3.49372	9.34532	59.628	3.50127	6.97167	2.44776
FBtr0300987	FBgn0051974	3.18137	0	23.0453	163.6434	10.2128	0	19.9764
FBtr0330645	FBgn0051974	31.0542	24.0373	0	49.2548	24.7869	27.3986	21.489
FBtr0330644	FBgn0051974	24.7644	5.96266	6.95471	63.1015	0.000297615	5.60144	13.5346
FBtr0078116	FBgn0031224	581	178	225	1572	246	271	366
FBtr0301929	FBgn0259818	19.5443	46	31	222	4.94004	18.7992	11.3362
FBtr0330643	FBgn0259818	81.4557	0	0	1.251569e-05	23.06	19.2008	44.6638
FBtr0078147	FBgn0031227	198.611	53	63	607.551	62	50	163
FBtr0078120	FBgn0031229	5.39269	0	3.20532	12.05151	1.56181	0	5.35702
FBtr0078119	FBgn0031229	753.607	236	294.795	2270.949	228.438	293	556.643
FBtr0091612	FBgn0053635	141	44	51	495	41	45	107
FBtr0078121	FBgn0016977	2351.42	566.787	1016.88	23923.55	262.048	337.552	2446.46
FBtr0332336	FBgn0016977	0.609807	3.64626e-05	7.18996e-06	460.733	5.34904e-06	1.87135e-06	1.06555
FBtr0078122	FBgn0016977	1786.94	282.467	152.704	38.49	181.075	360.609	0.387253
FBtr0306341	FBgn0016977	3787.16	2586.92	1485.19	3730.17	2112.37	1279.5	1841.12
FBtr0330652	FBgn0016977	1548.05	542.456	360.752	4352.01	402.583	324.401	572.062
FBtr0078123	FBgn0016977	0.00585386	0.00621081	0.00192535	0.1767048	0.00284883	0.00271837	0.200035
FBtr0330653	FBgn0016977	9052.43	2067.68	1150.11	12210.62	1823.3	1639.35	2295.6
FBtr0332337	FBgn0016977	5254.39	2666.69	2098.37	9170.24	1682.62	2536.59	1780.11
FBtr0078124	FBgn0031231	273	88	144	939	144	173	258
FBtr0078146	FBgn0031232	13	2	0	33	7	2	0
FBtr0308246	FBgn0031232	0	0	3	0	0	0	5
FBtr0332338	FBgn0031233	67.9515	0	0	0	0	0	13.4581
FBtr0332339	FBgn0031233	56.2009	0	0	126.5343	0	0	13.9132
FBtr0078125	FBgn0031233	391.848	199	187	1307.466	186	182	292.629
FBtr0078144	FBgn0086902	10581.6	4971.31	3843.15	0.2481452	1.82794e-05	0.0121977	6110.18
FBtr0299837	FBgn0086902	5963.87	3229.56	2281.64	54305.3	7552.94	7059.11	3530.1
FBtr0308253	FBgn0086902	1454.03	785.416	673.658	3766.96	457.172	326.299	1347.08
FBtr0308254	FBgn0086902	4655.3	421.383	181.068	370.877	0	30.0236	623.984
FBtr0308255	FBgn0086902	568.092	0.119878	1.11978	2443.479	126.017	59.6669	770.793
FBtr0078145	FBgn0086902	1712.91	408.965	740.775	7251.85	678.095	901.348	1045.52
FBtr0078126	FBgn0031235	9.06962	2.02865	3.14598	17.06964	1.07644	3.09702	3.3353
FBtr0078143	FBgn0022246	124	30	43	396	50	52	77
FBtr0078140	FBgn0031238	346.462	138	172	919.207	186	171.961	229.244
FBtr0078141	FBgn0031238	48.538	3.21887e-08	0	118.7925	3.51228e-08	44.0391	26.7564
FBtr0308252	FBgn0031239	36.7114	4.50255	4.5066	96.3945	6.75809	4.49958	15.9932
FBtr0078142	FBgn0031239	7.28863	7.49745	7.4934	17.60545	6.24191	0.500415	7.0068
FBtr0078127	FBgn0031240	8	3	3	21	5	5	8
FBtr0078139	FBgn0086912	648	186	266	1566	215	252	511
FBtr0078128	FBgn0086856	340	99	95	1053	97	117	214
FBtr0330650	FBgn0086855	139.937	78.9316	26.3892	168.0754	92.28	52.5059	41.4151
FBtr0300804	FBgn0086855	596.906	155.642	256.931	2204.924	251.044	288.482	526.585
FBtr0330648	FBgn0086855	0	36.8386	0	6.38445e-08	0	0	0
FBtr0330649	FBgn0086855	154.157	26.588	35.6795	0.000109465	21.6762	27.0122	0
FBtr0078129	FBgn0003444	908.287	299.39	322.041	3173.62	352.775	376	554.787
FBtr0078137	FBgn0031244	262.713	120.61	156.959	864.379	144.225	180	266.213
FBtr0308693	FBgn0031245	0	0	0	0	0	0	0
FBtr0113009	FBgn0031245	0	0	2.69219	21.96147	0	0	0
FBtr0078135	FBgn0031245	76.6934	39.3977	53.1734	350.258	35.3489	26.8182	120.473
FBtr0078136	FBgn0031245	150.307	51.6023	68.1344	788.78	126.651	165.182	37.5266
FBtr0330647	FBgn0025686	0	0	2	0	0	0	0
FBtr0078134	FBgn0025686	4	0	0	9	0	3	5
FBtr0078130	FBgn0031247	229.753	62.7182	95.8053	774.519	107.846	126.826	117.406
FBtr0333408	FBgn0017457	17.365	12.3084	8.26616	71.5647	4.33994	11.8654	30.4724
FBtr0078133	FBgn0017457	1282.88	418.973	507.929	2402.916	452.814	538.308	820.122
FBtr0078131	FBgn0024352	7041	2003	2575	19212	2544	2986	4343
FBtr0331208	FBgn0020622	1512.15	151.431	96.4347	3379.07	111.84	119.305	638.507
FBtr0331205	FBgn0020622	350.046	501.731	517.862	1876.533	430.76	441.938	611.897
FBtr0331206	FBgn0020622	0	0	0	0	0	0	9.31556
FBtr0331207	FBgn0020622	74.8082	11.8379	14.7036	96.3958	13.3999	17.7575	23.2799
FBtr0078047	FBgn0004611	76.9302	25.0072	31.0938	244.5126	32.3174	26.26	18.736
FBtr0078049	FBgn0004611	289.686	237.077	144.833	849.829	143.441	175.273	263.129
FBtr0330673	FBgn0004611	21.7941	0	0	0	4.65587e-07	0	5.21149e-08
FBtr0078050	FBgn0004611	9.43798	9.34261	0	53.5195	4.90972	4.54804	15.964
FBtr0078048	FBgn0004611	0	0	0	0	0	0	12.6086
FBtr0330674	FBgn0004611	295.151	59.5735	126.93	808.139	110.331	129.857	103.503
FBtr0078099	FBgn0031248	3	2	1	6	2	3	1
FBtr0078098	FBgn0031249	1	1	2	6	0	1	0
FBtr0078052	FBgn0053127	12	6	2	45	10	11	10
FBtr0330695	FBgn0264086	0	0	2.1424	0	0	3.06124	1.05919
FBtr0330696	FBgn0264086	4	0	0	15	1	0	0
FBtr0078096	FBgn0051921	2	1	2	12	0	1	1
FBtr0078094	FBgn0031250	664.116	274.845	257.899	1782.85	265.179	269.014	592
FBtr0078095	FBgn0031250	1.57199e-08	41.1549	84.1012	175.3021	2.22899e-05	0	4.17075e-07
FBtr0330651	FBgn0031250	37.8836	0	0	255.848	49.8213	57.9857	1.45979e-07
FBtr0078053	FBgn0000061	1	1	3	15	1	1	1
FBtr0078093	FBgn0031251	0	0	0	0	0	0	1
FBtr0331204	FBgn0031251	7	1	3	27	3	6	0
FBtr0078054	FBgn0003278	1125	392	439	3276	417	454	846
FBtr0089488	FBgn0263350	2657.09	615.872	538.963	7311.04	718.76	772.585	1212.88
FBtr0089489	FBgn0263350	739.915	543.128	666.037	3056.96	638.24	607.415	1016.12
FBtr0078055	FBgn0263933	2509.55	1014	1080	7351.77	1062	1155	2014.17
FBtr0078090	FBgn0031252	736.451	256	265	1810.222	250	283	477.832
FBtr0331932	FBgn0002593	43.3533	17.6853	17.8725	299.9639	10.6899	10.5289	261.808
FBtr0078056	FBgn0002593	35026.6	14506.3	18248.1	94251	15962.3	17574.5	30030.2
FBtr0078089	FBgn0031253	245	79	124	864	116	124	266
FBtr0078057	FBgn0031254	137	49	47	315	41	44	76
FBtr0078058	FBgn0031255	51	32	27	90	13	23	32
FBtr0078059	FBgn0004583	2949.16	1928.52	1528.83	9945.54	1669.53	2214.31	3313.71
FBtr0329832	FBgn0004583	2639.29	0.00491604	257.72	4816.32	420.731	71.2222	220.621
FBtr0078087	FBgn0015924	1088.24	317.996	200.883	2756.163	190.499	160.062	617.644
FBtr0331233	FBgn0015924	11.7833	6.11379	6.83677	122.7798	0	8.12578	14.7251
FBtr0078088	FBgn0015924	0	3.41595e-05	0.0170462	0	0.135071	0.000310237	8.26834e-07
FBtr0331232	FBgn0015924	1978.52	653.217	936.711	5723.2	809.103	648.126	1536.3
FBtr0304741	FBgn0015924	0	52.1529	1.97655e-06	0	6.37184e-08	302.152	0
FBtr0078060	FBgn0031256	2518.68	1047.97	1272.72	7782.28	1167.66	1428.69	1950.44
FBtr0078061	FBgn0031257	1871.98	813.556	723.787	4737.82	893.331	849.916	987.217
FBtr0331230	FBgn0031257	68.3439	43.607	91.9811	780.624	77.634	109.325	174.927
FBtr0331231	FBgn0031257	183.678	70.8374	110.232	283.5649	130.035	216.759	146.855
FBtr0310035	FBgn0031258	4.63577	20.9243	2.71822e-06	0	8.95115	10.9994	17.2424
FBtr0310034	FBgn0031258	357.364	108.076	107	438	36.0488	36.0006	198.758
FBtr0078062	FBgn0027592	2198	877	849	5265	833	951	1562
FBtr0333012	FBgn0003963	38.8632	0	3.95967e-05	105.3127	0	0	0
FBtr0333013	FBgn0003963	117.027	37.175	53.754	1899.963	140.543	156.839	71.4476
FBtr0310027	FBgn0003963	4096.38	1620.49	1527.86	11566.92	2320.24	2308.16	2625.61
FBtr0078063	FBgn0003963	366.178	135.546	169.665	1413	186.555	220.042	225.237
FBtr0329895	FBgn0003963	1218.55	509.791	562.722	2099.806	264.661	351.958	505.703
FBtr0078083	FBgn0043364	3156.35	704.656	851.405	2593.562	263.669	377.29	1304.77
FBtr0078084	FBgn0043364	148.706	24.3309	13.9317	623.079	52.2121	24.2945	59.7279
FBtr0310030	FBgn0043364	222.945	136.013	56.6632	584.359	71.1185	80.4155	114.499
FBtr0310028	FBgn0010602	54.2123	17.8816	10.931	131.6735	11.1721	11.0617	24.0819
FBtr0078082	FBgn0010602	25.0377	4.82133	4.9942	62.4406	9.77892	19.4996	35.8742
FBtr0078081	FBgn0010602	2953.74	1005.3	1162.24	6851	1067.43	1322.65	1892.5
FBtr0310029	FBgn0010602	34.0051	0	51.8323	226.8835	23.6152	44.7868	37.5486
FBtr0078080	FBgn0031260	3074	1320	1610	8853	1725	1897	2831
FBtr0078064	FBgn0031261	3813.86	2097.7	2471.32	5993.96	1478.22	1905.59	3112.08
FBtr0078079	FBgn0005660	143.013	71.9281	58.6443	878.988	151.495	166.46	121.668
FBtr0112854	FBgn0005660	16.1262	19.3707	14.0329	39.052	15.2867	12.9504	16.2569
FBtr0303763	FBgn0260933	468.659	233.986	215.836	1429.562	227.466	527.547	304.594
FBtr0078078	FBgn0260933	472.879	213.495	208.748	2363.836	476.544	291.456	436.681
FBtr0078066	FBgn0031263	2129.46	804.518	1017.42	7804.6	1126.99	1331	1348.72
FBtr0078076	FBgn0031264	0	3.70302e-05	8.79426e-05	15	2.61458e-05	6.32096e-05	0.000148785
FBtr0332341	FBgn0031264	0	4.99996	6.99991	0	3.99997	4.99994	4.99985
FBtr0332342	FBgn0031264	15	0	0	0	0	0	0
FBtr0078067	FBgn0031265	783.587	268	326.139	2248.612	321.212	384.383	525
FBtr0078075	FBgn0021874	809.413	332	351.861	2086.388	312.788	408.617	608
FBtr0332340	FBgn0031266	22.5236	65.4768	21.8583	202.8063	0	21.8016	89.466
FBtr0078068	FBgn0031266	2090.48	873.523	919.142	5572.19	929	971.198	1541.53
FBtr0078074	FBgn0031267	721	300	382	1866	299	353	621
FBtr0310022	FBgn0031268	78.4098	33.9774	0	0	0	13.6686	0
FBtr0078069	FBgn0031268	51.5902	30.0226	58	852	103	118.331	128
FBtr0333746	FBgn0013323	4	5	3	15	3	4	1
FBtr0078070	FBgn0023489	3	0	0	12	1	3	2
FBtr0114568	FBgn0010323	2	0	1	3	0	0	2
FBtr0078072	FBgn0010323	0	0	0	0	0	0	0
FBtr0310023	FBgn0031270	2.95527	0	1.34379	27.76346	0	0	1.46169
FBtr0078071	FBgn0031270	75.0447	12	20.6562	221.2365	13	27	45.5383
FBtr0310100	FBgn0040106	0	0	0	0	0	0	1
FBtr0308305	FBgn0040106	0	0	0	0	0	0	0
FBtr0077998	FBgn0040107	1	0	0	0	0	0	0
FBtr0077999	FBgn0031273	0	0	1	0	0	1	0
FBtr0078045	FBgn0000497	7	2	0	3	0	0	7
FBtr0078000	FBgn0011244	0	0	0	3	0	0	0
FBtr0078043	FBgn0026438	0	0	2	9	0	0	0
FBtr0301317	FBgn0026438	0	0	0	0	0	0	0
FBtr0301316	FBgn0026438	0	0	0	0	0	0	0
FBtr0308257	FBgn0031275	0	0	0	0	0	0	0
FBtr0078001	FBgn0031275	0	0	0	5.2372	1.7036	0	1.73544
FBtr0301439	FBgn0031275	2	0	0	6.7628	0.296404	0	0.264564
FBtr0078002	FBgn0031275	1	1	1	0	0	0	0
FBtr0078003	FBgn0031276	0	0	0	3	0	0	0
FBtr0078004	FBgn0040725	0	0	0	0	0	0	0
FBtr0078005	FBgn0031277	0	0	0	0	0	0	0
FBtr0078006	FBgn0041250	0	0	0	0	0	0	0
FBtr0331651	FBgn0041250	0	0	0	0	0	0	1
FBtr0331652	FBgn0031279	0	0	0	0	0	0	0.00214672
FBtr0078007	FBgn0031279	0	0	0	0	0	0	1.99912
FBtr0078042	FBgn0000442	7	1	2	12	1	6	1.99874
FBtr0078008	FBgn0051658	318	88	147	1182	140	192	211
FBtr0078009	FBgn0086130	473	157	208	1203.199	227.711	258	332
FBtr0078041	FBgn0031281	228.828	70.2583	123	801.66	133.289	179	181.255
FBtr0332974	FBgn0031281	55.1724	40.7417	1.13902e-05	2.14074	0	8.13089e-06	21.745
FBtr0332972	FBgn0031282	19.434	5.57957	5.70093	81.3948	5.44476	16.2584	16.7769
FBtr0078010	FBgn0031282	195.604	66.5017	106.437	542.606	83.5552	85.7416	162.017
FBtr0078040	FBgn0031283	4.96226	1.91872	4.86189	0	0	0	2.20661
FBtr0078039	FBgn0031284	297	96	123	1242	122	149	277
FBtr0078011	FBgn0015621	704	361	403	2067	435	511	622
FBtr0078012	FBgn0031285	3147.31	431.012	695.417	5637.48	894.096	349.604	2740.67
FBtr0100469	FBgn0031285	83.8243	25.1577	38.771	136.5848	21.541	29.5502	40.7503
FBtr0301908	FBgn0031285	665.905	809.888	1858.14	1658.572	943.05	1396.18	930.137
FBtr0305507	FBgn0031285	1622.96	971.943	207.669	3238.37	72.3135	440.663	251.44
FBtr0078038	FBgn0031286	420	193	222	1134	232	255	283
FBtr0078013	FBgn0010583	1695.43	437.869	442.555	4620.59	391.437	323.488	1257.93
FBtr0078014	FBgn0010583	0	0	0	123.5071	0	0	0
FBtr0078015	FBgn0010583	0	0	0	4.22241e-08	0	15.5121	62.9339
FBtr0332973	FBgn0010583	639.574	595.131	578.445	1063.898	586.563	692	776.134
FBtr0302120	FBgn0020304	77.9647	99.8653	83.9174	637.276	49.5243	34.3839	63.6768
FBtr0302612	FBgn0020304	6768.15	2170.15	2157.04	16665.32	2214.34	2614.22	3426.48
FBtr0302121	FBgn0020304	0.0584183	0.197206	0.485496	0.917638	0.0758969	0.122593	0.673346
FBtr0078037	FBgn0020304	113.691	63.8852	194.378	300.4669	69.02	131.236	446.779
FBtr0290075	FBgn0020304	344.14	693.9	675.177	603.017	709.044	887.033	188.39
FBtr0078034	FBgn0031287	400	135	180	900	158	198	252
FBtr0078016	FBgn0020545	1514	972	1052	4032	828	1050	1571
FBtr0078017	FBgn0031288	5	0	4	0	1	1	2
FBtr0078018	FBgn0031289	5	4	2	9	2	1	3
FBtr0078031	FBgn0029095	3898.29	1451.58	1604.95	7105.47	1025.61	1168.14	1825.19
FBtr0078032	FBgn0029095	279.886	153.155	208.08	805.847	87.4014	235.329	244.378
FBtr0078033	FBgn0029095	1788.83	1522.27	1494.97	4370.68	1180.99	1480.53	2932.44
FBtr0078030	FBgn0020305	957	341	376	2490	384	437	655
FBtr0091489	FBgn0053526	263.4	131.464	82.8576	1942.964	112.661	139.442	272.647
FBtr0332000	FBgn0053526	2372	941.828	1096.1	4724.12	921.238	1019.36	1138.13
FBtr0091487	FBgn0053526	0	190.503	179.514	1315.905	154.984	209.328	411
FBtr0091486	FBgn0053526	920.601	188.205	220.529	2247.005	198.118	186.869	535.218
FBtr0078023	FBgn0002936	6	1	6.87694	0	1	3	3
FBtr0332181	FBgn0031292	28	11	8.12306	75	13	13	13
FBtr0078025	FBgn0002563	5	1	3	12	3	4	3
FBtr0273244	FBgn0046113	0	0	1	3	0	1	2
FBtr0077949	FBgn0028481	0	0	0	9	0	0	0
FBtr0305064	FBgn0028481	1	2	0	0	1	0	0
FBtr0301417	FBgn0031294	0	0	1.36027	0	0	0	0
FBtr0301416	FBgn0031294	9.13042e-07	7.7781e-07	1.63973	2.513018e-06	0	0	1.60441e-06
FBtr0332270	FBgn0031294	0.999999	2	0	6	0	0	0.999998
FBtr0077997	FBgn0031295	0	0	0	0	0	0	0
FBtr0310271	FBgn0031295	0	0	0	0	0	0	0
FBtr0077951	FBgn0031296	27	0	0	0	0	0	0
FBtr0301087	FBgn0031296	4.41909e-08	14	11	63	14	20	12
FBtr0077993	FBgn0003310	1416.1	477.546	450.234	4857.11	432.618	499.736	1231.48
FBtr0077994	FBgn0003310	519.905	483.454	435.766	1073.888	518.382	636.264	372.52
FBtr0077952	FBgn0015905	1099	436	476	3219	475	499	771
FBtr0077953	FBgn0031298	206.374	72.4709	468.635	524.71	78.4275	107.682	147.105
FBtr0332569	FBgn0031298	1304.49	564.362	220.301	3672.87	623.404	765.071	878.925
FBtr0332570	FBgn0031299	2.70001e-07	16.7177	0	0	0	17.8459	32.9114
FBtr0332571	FBgn0031299	99.1332	40.4489	68.0643	278.4231	60.1685	45.4014	46.0586
FBtr0332273	FBgn0261938	0	0	0	61.2576	19.8475	0	40.559
FBtr0077989	FBgn0261938	1537	642	718	4297.75	723.153	827	1096.44
FBtr0077954	FBgn0031301	6	3	3	9	3	4	7
FBtr0077955	FBgn0031302	103	35	39	444	37	52	73
FBtr0077987	FBgn0016926	776.303	344.746	438.781	2366.508	395.215	422.071	872.137
FBtr0077988	FBgn0016926	731.506	235.254	228.218	1368.492	147.785	129.929	514.837
FBtr0332272	FBgn0016926	23.1914	0	33.001	0	0	0	25.0257
FBtr0077956	FBgn0031304	2472	1131	1281	5289	1044	1287	1806
FBtr0077986	FBgn0031305	0	1	1.00248	0	1.00152	1	0
FBtr0332271	FBgn0031306	0	0	0	0	0	0	0
FBtr0077957	FBgn0031306	2	1	6	9	0	3	1
FBtr0077958	FBgn0031307	1895	875	1039	8115	1525	1902	1140
FBtr0077959	FBgn0031308	316	124	167	873	167	192	271
FBtr0077985	FBgn0031309	730	286	301	1665	307	414	451
FBtr0077960	FBgn0031310	1411.26	487	567	3535.69	617.529	762	894.738
FBtr0100022	FBgn0261458	8363.4	3635.01	3693.81	24959.4	3840.27	4313.7	6793.06
FBtr0100023	FBgn0261458	39.4426	30.998	12.6042	187.0383	20.4662	23.0236	47.1548
FBtr0332274	FBgn0261458	52.8966	29.9882	23.5842	105.8747	29.7334	37.2811	35.0497
FBtr0077961	FBgn0031312	1566.16	512.754	743.88	4308	564.389	921.211	1318.2
FBtr0331287	FBgn0031312	139.843	357.246	269.12	0.01008833	411.611	247.789	103.799
FBtr0077981	FBgn0031313	2154.17	1183.74	1334.42	4250.23	805.6	894.093	2020.61
FBtr0077982	FBgn0031313	53.251	6.91686	23.5798	79.4181	35.3995	45.9067	12.6504
FBtr0331289	FBgn0031313	38.5792	25.3475	0	62.3547	0	0	16.7359
FBtr0077962	FBgn0031314	614	229	295	1479	286	331	439
FBtr0077964	FBgn0031315	398	98.3465	159	1153.361	140	159	203
FBtr0077980	FBgn0024314	0	0	18.6711	0	0	0	0
FBtr0304710	FBgn0024314	1956	955.654	1107.33	5866.65	1191	1349	1782
FBtr0077965	FBgn0051922	76	23	15	324	26	30	57
FBtr0077979	FBgn0031317	1397	421	536	3678	541	655	661
FBtr0331288	FBgn0031318	0	0	34.9779	327.291	0	0	216.129
FBtr0077966	FBgn0031318	2224.77	942.058	947.389	5379.56	1044.35	1263.07	1211.51
FBtr0077968	FBgn0031319	775.132	299.406	375.65	2501.589	378.377	451.987	632.364
FBtr0077970	FBgn0031319	26.9996	34.7926	0	59.0778	2.89986	0	2.23138
FBtr0308697	FBgn0031319	158.242	119.394	96.2975	578.921	109.702	92.9311	142.376
FBtr0308698	FBgn0031319	10.3143	0	0	82.9492	10.057	14.9054	0
FBtr0077978	FBgn0031320	230.538	114.349	117.686	727.609	160.613	156.106	286.386
FBtr0077971	FBgn0031321	294	181	190	765	160	220	285
FBtr0307056	FBgn0031322	44.864	34.3553	14.1318	72.4217	5.75601	27.6438	46.2395
FBtr0077972	FBgn0031322	492.84	133.548	172.406	420.28	57.3851	104.416	339.706
